comment,author,date,like_count
when i think of capitalist problems i imagine the top richest corporations influencing government laws to keep everything in their favour. Governments in capitalist countries should ignore money.,Drilla ,2021-07-13T15:04:24Z,1
"Excellent analysis. The real question as you stated is Who are the real parasites? A very thoughtful and insightful question which could be answered of people stop believing that only STEM majors are going to let you achieve the higher hierarchical level of the socioeconomic pyramid and continue bashing the arts and the humanities such as philosophy. In the study of philosophy, specifically the Meditations of Descartes you can learn how to apply critical thinking to awaken and realize what is an idea of an idea that was created in the minds of someone else depiction of that idea. 😌🙂",L1ghtAlch3mist,2021-07-06T20:58:15Z,0
The whole concept is flawed. There is no parasite here because a parasite takes only and gives nothing by definition. The poor receive pay and the rich receive a service. Both benefit. I don&#39;t care if they think they are entitled to more... they can think what they want but it is not true. Just like all you working stacking shelves think you work so hard and amazon is rich off your backs you deserve $70k. You get paid on how difficult the job is and how easy it is to replace. You are not deserving of more.,Phil McClenaghan,2021-07-06T18:14:02Z,1
All &quot;Parasites&quot; terrify me.<br><br>Especially the Marxist Liberal Left...<br>I guess you probably will receive a &quot;Goebbels&quot; Most Outstanding Propaganda (B.S.) Award though.,Ted C,2021-07-06T16:43:42Z,0
"Abel Abel yea, OK genus... lol",Ted C,2021-07-13T15:03:50Z,0
when I first saw the movie that scene with the fumigation and coughs didn&#39;t scare me as much as it does now. Who&#39;d&#39;ve guess,e tm,2021-07-05T22:37:39Z,0
I am watching this video on my newest iPhone,Got,2021-07-04T20:20:18Z,0
wow you just broke down the inner workings of our society so eloquently.,Shaka Girvan,2021-07-04T12:23:45Z,0
wow this was some marxist propaganda. how can you say that the capitalistic institutions don&#39;t compensate the lower class fairly for their labour? if they don&#39;t like the work then just go somewhere else? or maybe the lower class labour is really not worth that much.,Ratatoskr's Adoring Fan,2021-07-04T09:50:18Z,2
"Abel Abel  @Abel Abel    well first of all, if you make a claim you have the responsibility of substantiating it.<br><br>It would be like me saying &quot;China is evil&quot; and if it isnt then you have to prove it to me.<br>Thats not how it works, if I want to make a claim, i need to support it by saying &quot;China is evil because communism genocide concentration camps etc...&quot;<br><br>So i dont accept the premise in the first part of your response.<br>Secondly, for people who don&#39;t have access to internet or time, that&#39;s a different case because what I am claiming is if people have the internet people can&#39;t complain. And if someone says they don&#39;t even have an hour or two of spare time in their day then I don&#39;t believe them. Because otherwise i wouldn&#39;t be having that conversation. <br><br>I am not saying people should just die off. Theres welfare and unemployment benefits for that. <br><br>Thirdly , if 50 percent of world wealth is in the hands of a few people, whatre you gonna do? Steal it from them? It&#39;s about competence.<br>If someone feels that they are more competent than them then they can go ahead build something valuable and earn all that money for themselves.<br><br>Oh and another thing.<br>If you&#39;re making 300k a year after getting a PhD degree then sure, my competencies and economic utility of my skills are not nearly as good as yours.<br>That wouldn&#39;t make you an asshole that would make you correct.<br><br>You can look down on me or anyone you wish to. It doesn&#39;t harm anyone because no one cares.<br><br>We didn&#39;t invent a market, we invented trade and rhe market was a naturally occurring by product of that.<br><br>And why can&#39;t you understand the simple concept about trade? Example, <br>i anticipate that everyone would want a spoon. I get the idea that i can sell a lot of spoons when that happens, so i decide to invest in that idea by buying a lot of spoons, this in turn, makes me bearer of that risk.<br><br>Then when soup becomes popular and spoons are needed,  then I sell it to people and get more money.<br><br>The people benefit because they got a spoon to drink the soup with, and i benefit because I sold them at a higher price.<br>As the cost, i had the risk of that investment going to shit. And i came up with the idea.<br><br>I got money because I correctly predicted the worth of spoon or whatever. <br>Ridiculous example but there&#39;s no exploitation here and value is being generated. Everyone&#39;s happy. <br><br><br>Answering your other question, if everyone studies and becomes rich then what will happen, then due to more people being competent, that would generate so much wealth in the world that it would drive down the cost of everything, leading to the relative living standards the same as they are now and in absolute terms, better.",Ratatoskr's Adoring Fan,2021-07-14T14:34:05Z,0
"Abel Abel because resources are limited and so the only way to decide who gets those resources is to compete with others instead of stealing it from the rich who worked hard for it and giving it to the poor who aren&#39;t competent enough to get it on their own despite all these free resources available.<br><br>I myself am a software developer and the only access to that education for me and basically all of my colleagues  all was free online resources.<br><br>So that argument doesn&#39;t hold weight even in a third world country like mine.<br><br>And you say that people are paid less than what their work is worth.<br>The market decides what&#39;s worth what. Not the people themselves.<br><br>Every one is paid what they are worth, otherwise why wouldn&#39;t they leave?<br>Maybe because they know that switching jobs isn&#39;t gonna get them a better deal because their skills really aren&#39;t worth that much to anyone.",Ratatoskr's Adoring Fan,2021-07-14T12:07:57Z,0
"​Abel Abel im indian dude. there&#39;s a billion of us here and it&#39;s all about the competition, why should an enterprise pay you when there&#39;s a ton of other people who can do the same job as you and are willing to do it for cheaper, if you had a selling point, you might have not been complaining about your victimhood status on the internet.<br>but im curious, did you not have access to a school? you do have youtube available to you right now no?<br>what is stopping you from learning python from <a href=""http://freecodecamp.org/"">freecodecamp.org</a> or something and do freelance projects?<br>I don&#39;t see any reason why you can blame the system and not yourself when all these resources are freely available to you.",Ratatoskr's Adoring Fan,2021-07-14T07:00:59Z,0
"Abel Abel or maybe quit and find some other place where your expertise is needed.<br><br>Oh you dont have any skills that are important in Any field?<br>Well, I guess in that case I was wrong then lol.",Ratatoskr's Adoring Fan,2021-07-13T15:23:07Z,0
"@Drilla  I&#39;m 20 yes.<br>If you have trouble finding a job then maybe you should question why you&#39;re worthless. whatever you got is what you gotta stick with because you don&#39;t deserve anything better by definition.<br><br>Getting a Job, at least something that pays 3x higher than freaking minimum wage, is easy<br><br>If it&#39;s not for you then maybe you should question what went wrong and how&#39;d you end up this worthless that youre stuck somewhere you don&#39;t like and watch videos on the internet telling you why it&#39;s not your fault and why it&#39;s the Whole Freaking World that&#39;s in the wrong with its economic policies and principles.",Ratatoskr's Adoring Fan,2021-07-13T15:20:00Z,0
Brilliantly said,serenity6831,2021-07-04T05:46:14Z,0
As the situation in California gets even more dire it’s becoming clearer that we need some sea change on our economic system. Late capitalism has made the gap between the haves and have nots grow to such an extent that it risks everyone. Not just the poor in society,j0nnyism,2021-07-03T15:22:56Z,0
"I&#39;ve finished viewing this film, and schools should employ films like this to raise awareness among certain groups of people, particularly students... <br><br>I believe it is ideal for a student-led film analysis.",Jayson Jonatas,2021-07-03T04:34:55Z,0
"I hope, for everyone, that this film finally teaches the people that capitalism is nothing but a oppressive and inherently immoral system which does nothing but create barbaric classism.",Wackaz,2021-07-03T01:16:26Z,8
My dad loves this film and is a huge capitalist… I think he missed the point 😳😂,Elliot Venerable,2021-07-02T20:30:43Z,1
"Both being rich and poor are both frightening things for humans, at the achievement of the status level in human life, humans will always be presented with very heavy worldly temptations. It is at this critical point that the wisdom of life is suddenly needed as a guide. Wisdom in the spirituality of faith, in the search for human life who always asks, what is a simple life that is actually a model of life that humans are always looking for? How to achieve glory in life? The purpose of pilgrimage in life is to become a noble being.",ASYMODO,2021-07-02T03:22:04Z,0
"from nearly every movie ive watched, rich just brings violence, hate all for the sake of materialistic goods. Rich life seems like such an ugly life in crime movies.",Drilla ,2021-07-13T15:20:47Z,0
I’m pretty sure it’s a comedy tho. <br><br>It’s like saying “Death to Smoochy” should be scary.,Jeff Taylor,2021-07-01T16:21:43Z,0
Socialism ftw?,Cham,2021-07-01T14:40:58Z,0
"any, any criticism to capitalism and you will get these comments.",Drilla ,2021-07-13T15:21:15Z,0
"This video gave me goosebumps, well done and well-said!",It'sYaBoi Ian,2021-07-01T00:43:18Z,1
"It&#39;s not the problem of the capitalism You are painting, but of human nature. Same problem if not worst were present in non-capitalist societies like feudalism(extreme inequality), communism(systemic poverty).<br><br><br>Anyway, I hope You gonna experience socialism in USA at least once...",Dawid Lijewski,2021-06-30T09:34:22Z,3
"No, no, Park is not oblivious about work and hardships of the lower classes, it&#39;s the people, on all social stratas are oblivious and try to isolate themselves from problem of others. It&#39;s not rich vs poor, but richer vs poorer, us vs them, my bubble vs others bubbles.",Dawid Lijewski,2021-06-30T09:30:02Z,1
I love the movie but the ending kinda rush,Apabenda jadi Hari ini,2021-06-30T09:27:16Z,0
"The social ladder is tough to climb but still climb-able when you’re not in the extreme low tier of the normal curve, and in a city that provides free education at least to high school. I came from a poor family and I escaped the cycle, it was real tough but I managed it with my wife in the end.",happypill,2021-06-30T08:28:30Z,2
"@Drilla  the cage homes are the extreme cases. We have public housing here for the elderlies and less income families. It’s around 100-120sqft per person depending on family size and it caps at 500sqft. <br><br>The harder thing is for teenagers who grew into adults to move out without support because the rent usually equals their salary. It happens to many cities for example Sydney &amp; Berlin, and people may move to less competitive areas of the country, yet Hong Kong people can’t really move back to China due to the huge differences in systems and culture. <br><br>Just wanna share what I know. I still love Hong Kong and appreciate the life I’ve had and lovely people here.",happypill,2021-07-13T17:35:24Z,0
@happypill when i hear hong kong i just imagine the cage homes people live in. It always seemed like a tough place to live in to me.,Drilla ,2021-07-13T16:18:33Z,0
@Drilla  I’m from Hong Kong and it’s kind of hard here if you’re earning the basic incomes. The only ways I know to climb the ladder is by doing business or get a really good career.,happypill,2021-07-13T16:14:04Z,0
"Abel Abel  I agree that a more equal society is healthier, which gives people safety and freedom. <br><br>My original comment aims to motivate people who are living in less equal countries. We can make things happen as long as we want it hard enough, things can always improve on the personal or community level.",happypill,2021-07-13T15:36:20Z,0
what country are you from? Im in Australia and i think you can climb the ladder here. Just isnt something you can do everywhere in the world.,Drilla ,2021-07-13T15:22:43Z,0
Okay but the husband in the basement scared the shit out of me,JustOneCorgi,2021-06-30T07:42:40Z,0
"Really excellent analysis , thankyou! 🙏🏼",James Engwell,2021-06-29T20:45:15Z,0
I dont think you REALLY got what he was saying. The haves are going to start pushing the have nots outside of &quot;their&quot; lines. Do you know what that looks like?,Gross Liz,2021-06-29T19:58:19Z,0
why did i know what this video was about without looking at the video first,marlon cifuentes,2021-06-29T19:14:56Z,0
turned very poltiical very quickly. Capitalism is king!,David Park`,2021-06-29T17:05:07Z,1
For now…,Lester Reyes,2021-07-06T01:37:42Z,0
This movie stars so many famous actors and actresses,Not Me,2021-06-29T12:04:46Z,1
Ummm you got capitalism all wrong but I see the narrative you’re pushing,Saury Valerio,2021-06-29T09:44:14Z,0
"Feudalism has never left, it merely reinvented itself as capitalism at the turn of the 20th century.",Ong Wee Yang,2021-06-29T07:49:34Z,3
@Nathan Goodwin i get the feeling that those are rare cases. Not sure if everyone will get an opportunity.,Drilla ,2021-07-13T15:23:48Z,0
@Clements Oh. Yea pure capitalism does suck for the lowest  in the class hierarchy. I get that.,Nathan Goodwin,2021-07-05T02:47:45Z,0
"@Nathan Goodwin I don&#39;t think you get what I am saying. Literally, not everyone can be CEOs, landlords, stockbrokers, etc. Like, society cannot function if everyone was of the capitalist class.",Clements,2021-07-05T02:17:04Z,0
"@Clements Everyone can be CEOs, landlords, stockbrokers, etc. Though it is hard as heck to get to that title, making smart financial choices that benefit you in the long run, and not blowing your money on junk can let you have a successful, happy life in its own.",Nathan Goodwin,2021-07-05T01:20:11Z,0
"@Nathan Goodwin Effectively what capitalism did was get rid of caste systems and replaced them with class systems. But that is not enough on it&#39;s own, as any system with either class or caste by the very intrinsic nature of the system needs the majority of people to be in the lower class and stay there. Not everyone can be CEOs, landlords, stock brokers, etc.",Clements,2021-07-01T09:05:52Z,0
Blah blah!<br>Labour camp in North Korea is a good place to flatten the social ladder.,subhabrata das,2021-06-29T03:05:45Z,0
"Just watched it. Ingenious film. Works great as a comedy, has a nice build in tension, and is a masterful work of satire on top of all that. This will become a classic for sure.",Safe-Keeper,2021-06-28T21:39:02Z,1
For me this movie its just a commie propaganda! ps Im south american!,Raphael Rosato,2021-06-28T17:23:02Z,0
@Raphael Rosato let’s go authoritarian papa,Lester Reyes,2021-07-06T01:38:50Z,0
@Safe-Keeper Lets go Ancap then!,Raphael Rosato,2021-07-02T19:06:54Z,0
What if I told you there was a middle ground between unchecked capitalism and communism?,Safe-Keeper,2021-07-02T18:25:26Z,0
"A film that criticizes capitalism, selling the idea that capitalism is evil, that the rich are evil, when both rich and poor are interdependent. Communism is the utopian idea that a state model of social discrepancy control would work, when in practice it has never worked. Capitalism does allow economic mobility, the rest is Marxist ideology.",Raphael Rosato,2021-06-28T17:21:41Z,1
One word about the movie<br>EPIC,NS Vines,2021-06-28T15:11:15Z,1
Rich being rich it&#39;s not coincidence or good luck. A man can&#39;t understand a woman and the opposite. A rich can&#39;t understand a poor and the opposite. Envy of the supposed lucky in the world just make us whinners🤦‍♀️🤦‍♀️Are we really gonna hate each other for their race wealth capitalism etc..??!!!!!! 🤦‍♀️🤦‍♀️🤦‍♀️,J S,2021-06-28T13:21:42Z,1
Please do one for I Saw The Devil. One of the best thriller of all time and it has a similar a theme to Parasite as at the end of the movie you are not sure who is the real devil is. It&#39;s also made by another great South Korean director.,Michael Nguyen,2021-06-28T12:06:04Z,1
"I like the video and understand where you are coming from but I think that Boong Joon-ho took a more cynical approach when making this movie. The poor family gets less and less likeable as the story progresses and they are clearly taking advantage of the gullible Park family. I believe that the director understands that there are a lot of shitty people in the world, in this case  &quot;The park family and the poor family&quot;  and that they are more than willing to take advantage of each other. There is no true protagonist only selfish people.",Luke Lalande,2021-06-28T10:38:38Z,1
the name  I Saw The Devil sounds so familiar but that movie isnt.,Drilla ,2021-07-13T15:25:27Z,0
Basically the movie is telling us that we need AI to automate everything so us rich don&#39;t have to smell the poor anymore.,Shirt Dirt,2021-06-28T08:31:19Z,1
"People hate capitalism, yet participate in it",Phuc Tran,2021-06-28T07:05:04Z,1
"because some people are lucky in it, but feel for people who arent. Ever thought about that?",Drilla ,2021-07-13T15:26:00Z,1
You hate capitalism and yet you exist no ifon vuvuzela 100 bilion dead,garfield,2021-07-11T17:50:53Z,2
Because it is the only system in place? People in feudal societies who hated that also participated in them until they were overthrown.,Clements,2021-07-01T09:08:23Z,2
I was so absorbed by the analysis and then Anne Curtis pops up HAHAHAHAAHAH it was a nice surprise,Theaterdude 777,2021-06-27T17:33:40Z,1
"dont waste yourself watching the spoiler, watch the movie, it worth it.",mh cbon,2021-06-27T14:05:30Z,0
I would say that the movie is great because everyone is equally bad.,Boop Your Nose,2021-06-27T06:45:17Z,0
"pardon me, i have confused this with parasyte",catarac tom,2021-06-27T06:17:50Z,0
"It’s not capitalism’s fault, if the government does not poke its nose in capitalism and let free market flourish, this world will be a better place. Amazon, Apple, Tesla, Microsoft, Google and Facebook they all could not be where they are right now without tipping the congressmen/women and funding elections. Capitalism is the best market force that uplifts everybody’s standards. That’s the reason why the US is where it is.",Kabir Kapoor,2021-06-27T00:17:30Z,0
your right that is the reason the US is where it is with almost half of the population being under the poverty line. I could right an essay and rant about why the US is garbage and always has been but i respect my time.,Monke side peek,2021-06-28T06:34:08Z,0
What a great analysis! ty ^^,Lix,2021-06-26T16:20:07Z,0
"<a href=""https://www.youtube.com/watch?v=zgAK-4kPTb8&amp;t=5m28s"">5:28</a> Yes because someone living underneath you and controlling your lights is a very obvious thing. And no shit he lives beneath the Parks, where else would any secret room be located in but the basement? Some of these points are (no pun intended) on point, but some of these just sound stupid and painfully exaggerated or outstretched to push the overall idea.",wym g,2021-06-26T11:47:27Z,1
"Could just as well have been a &#39;panic room&#39; on the first or second floor, or a guy hiding out in the attic, or just a secret room like the one the Anne Frank family hid in.",Safe-Keeper,2021-07-02T18:29:04Z,0
shes explaining that its basically a physical metaphor for the main message of class. However i don&#39;t disagree with her points but to me i thought everything she said was obvious and she did go in circles at times.,Monke side peek,2021-06-28T06:38:34Z,1
I love capitalism. I’m glad propaganda films designed to pull at my heart strings have no effect on me.,Gage Crozier,2021-06-26T07:35:13Z,0
"You&#39;re one of those people who thinks any and all attempts at changing things is communism, aren&#39;t you?",Safe-Keeper,2021-07-02T18:29:55Z,0
you clown,Monke side peek,2021-06-28T06:38:54Z,2
"oh really!! Inequality has a life span of thousand of years , that did not terrify the humanity as a whole, still not terrifying , a movie will terrify us!!!<br>what a joke lady!",SSP,2021-06-26T07:00:44Z,0
"the films question is retarded and easy to answer: there are no leeches, the poor family is doing what they can to survive, and the parks are living a life of luxury due to their successful win in a capitalistic society, the normies need to focus on actual issues and not life and how it works.",trenchcoat gaming,2021-06-26T04:48:18Z,1
I just still don’t understand how this movie is considered a comedy.. like.. where is that movie funny?😭😭,Bel la,2021-06-25T21:31:05Z,1
"Oh man..all the time I though that this is just a live action movie of the anime serie parasite, and bc of that i avoided it...",PepegaLord,2021-06-25T20:34:35Z,1
"this video: who are the real parasites<br>me, a communist: uhhhhh",T CH,2021-06-25T15:20:31Z,0
While watching: Something will happen soon! <br>At ending: Something good will happen<br>After ending: What????<br>After 5 min: Wow<br>After youtube: Too good WOW,Pranjal Kumar,2021-06-25T11:37:29Z,1
wanted to watch it but I hate it not being in English. too hard to have to keep reading cuz then I can&#39;t see wtf&#39;s going on. everything should have to be in English too.,vexthevixen94,2021-06-25T06:46:45Z,1
Keep watching films and shows with subtitles and you&#39;ll get used to them.,Safe-Keeper,2021-07-02T18:31:26Z,0
"If you read about history, you will read about Kings and Kingdoms. Rome was one of the few Democracies, but everyone else in Europe had a Monarchy. Kings inherited their status for the most part and every subject that lived on their Land had to pay Taxes. We could now argue that most of those Taxes went to securing the Kingdom as a whole against enemies but... I would argue that a big amount of said Taxes went directly to the King, fueling his rich lifestyle.<br>Just look at France where... while the common folk suffered from not having enough food to the King and his court living in excess. Which eventually led to the Kings demise.<br><br>We just have that situation right now. Modern &quot;Kings&quot; like Jeff Bezos, Mark Zuckerberg, Elon Musk and allot other CEOs like Activision-Blizzard&#39;s Bobby Kotick, which earn astronomical salaries and bonuses while compared most workers hired earn very low salaries, not to forget that Activision-Blizzard laid off allot people in a &quot;record year&quot;.<br>I feel like... you hit the spot right on with the question &quot;Who is the real parasite?&quot;.<br>One could argue that the &quot;real&quot; parasite might be those overpaid CEO&#39;s that can mainly earn that much money and increase their stocks because most of the workers that actually generate the wealth of the company don&#39;t get paid enough of a wage in return. Allot of the workers might even be on the other side of the world, China and allot other Asian countries like Philippines, Vietnam, Malaysia and others come to mind.<br>Good video!",Bizarro,2021-06-25T03:44:48Z,0
"Theyre a symbiotic not parasitic relationship imho, only when the real parasite was disturbed that the balance toppled.",K. C.,2021-06-24T19:56:51Z,1
Moral lesson: DON&#39;T BE POOR!,Jessica Hyde,2021-06-24T13:41:25Z,1
"It&#39;s not parasitism, it&#39;s symbiosis!",Dean Jelbert Austria,2021-06-24T12:45:58Z,0
"Funny how capitalism and democracy are said to go hand in hand, when in fact they are opposites.",Bob Cornwell,2021-06-24T09:09:57Z,2
No they aren’t,Bernardo Seixas,2021-07-14T21:41:00Z,0
Superb analysis of one of the movies that radicalized me!,JP Dixon,2021-06-24T04:53:06Z,0
In the case of this movie the Parks are not parasites as well is not their lifestyle earned by their skill?,NapoleonBonaparte,2021-06-23T21:46:49Z,0
$2 movie maybe good idea maybe good acting but there is better being it asian doesn’t make it big brain to understand or too good for us there were good movies and this overrated piece of trash movie didnt  deserve oscar fuck it and fuck u parasite fans u delusional weirdos  F U C K U,yazan,2021-06-23T21:17:31Z,0
"lmaoo didn&#39;t notice the filipino advertisement was part of the vid, caught me off guard",matt arenos,2021-06-23T08:43:39Z,0
Only people my age (20s) I know who make actual money are in computers.  Take that how you want.,lovetownsend,2021-06-22T22:52:00Z,0
Computers are boring,Lester Reyes,2021-07-06T01:41:14Z,0
Tbh this movie scared me more than horror,Roby Bouth,2021-06-22T22:21:19Z,2
"this is a compelling, steel-man argument for socialism<br><br>I&#39;ll continue watching to test my contrary ideas",Geoff Langenderfer,2021-06-22T18:58:51Z,0
"Don’t get me wrong, i really enjoyed the movie from a cinematography and story-telling perspective, but the whole moral of the movie or “message” seemed to me to be just another expression of the classic shitlib “everyone should be equal” bullshit. Life is inherently unfair, some are poorer, uglier, dumber, more unfortunate, born with certain disabilities etc. the vibe that I got from the movie is that the rich family is supposed to somehow be ostracized for their ignorance... well, no... theyre just a rich family living their lives, obviously the struggles of the poor family arent relevant to them. The movie literally portrayed how the poor familys own greed and selfishness destroyed the lives of both families.",Redrash12,2021-06-22T15:37:19Z,1
@Redrash12 When feudalism existed there wasn&#39;t a better system than feudalism.,Clements,2021-07-01T09:10:30Z,0
@Redrash12 Not interested. Study or ask economists. I&#39;m simply clarifying what the movie sets out to do.,LK_tutturu,2021-06-24T21:51:52Z,2
"@LK_tutturu thats irrelevant. What better system has there been developed for continuous growth and prosperity other than capitalism? Ill wait. Exactly, none. Its life, there&#39;s winners and losers. Poor people and rich people, nothing you can do about it but work hard. Always thought it to be a such a dumb ass concept. Just accept life for what it is, there&#39;s pros and cons to literally everything, you can only really choose the choice with the best trade offs, that&#39;s it.",Redrash12,2021-06-24T15:36:37Z,0
It criticises the system rather than the products of it,LK_tutturu,2021-06-24T05:10:49Z,2
"Agree with many of your points, but Parasite is so over the top that it detracts rather than make the point.  Yes rich are terrible people, but so are many people in poor class.    Everyone who love to indulge in luxury has problem of spending way beyond their means if they are not really wealthy.   Some people are happy and content with  being frugal and living well with in their means but those are few and far in between.",springer 11724,2021-06-22T05:30:41Z,0
Curb your whataboutism,Faidou,2021-07-12T23:37:34Z,0
"Omg this movie is fantastic, i litterally picked up on none of this.<br>at the end I thought: this has well written characters, clever twists.<br><br>I did not know it represented a problem that runs so deep it runs the world.",Brazilian Dutchy,2021-06-21T21:51:45Z,1
"Remember when someone I talked to said about Steve, on no that was a few years after he died that does not count as him being responsible. So you are not longer responsible for things you made after you die. I&#39;m not sure how this works",Crosshair,2021-06-21T21:07:16Z,0
"<a href=""https://www.youtube.com/watch?v=zgAK-4kPTb8&amp;t=9m30s"">9:30</a> nagulat ako kay Anne",Samwise,2021-06-21T17:33:20Z,0
I don&#39;t think the content creator understands what capitalism is. But good review nonetheless. I like the effort.,thegiftedmedia,2021-06-20T19:27:12Z,1
"Rich people don&#39;t like how we smell, so Elon Musk builds hyperloop, because taxing that wealth would&#39;ve been theft or somesuch B.S.",Rick C,2021-06-20T18:41:31Z,0
"No no no.  You are missing the most important facts.  Capitalism DID provide upward mobility, and where anyone who worked could become wealthy and own their own house and car.  It was when plank #5 of communism, CENTRAL BANKS, and the separation of the dollar from being backed by precious metals that this changed, and indeed if you look at the 60&#39;s, there really was upward mobility.  Capitalism lost its legitimacy, and ceased to be capitalism when bankers acquired the power to create credit out of thin air with which to purchase capital.  That&#39;s when we transformed into a caste system which put those in proximity to control over the money supply at the top.  Bankers intentionally create boom and bust cycles through debt in order to impoverish people, and then they leverage the poverty for political power so that they can establish authoritarian regimes which they control, effectively making them kings.  This also exposes &quot;right wing&quot; lies that investors take the risk, when in fact they receive subsidies, bailouts, etc, transferring their losses in the stock market to the general public through taxes and inflation.  The &quot;left wing&quot; lies are that we have capitalism.  We don&#39;t.. and we haven&#39;t for a long time.  Not since central banks and the government started centrally planning economies.  The bankers are in on it together, worldwide.",Terry Thompson,2021-06-20T13:32:40Z,0
"@Clements No.. The prices of everything increase because the central bank prints too much money for the government to spend, and that has absolutely nothing to do with mininum wage.  I already explained that to you by comparing it to the melt value of silver.  Hyperinflation has nothing to do with wages.  The existence of central banks, and the use of fiat currency as a ponzi scheme is why the working class is having difficulty earning a decent living.  It is possible for people to earn a decent wage, with strong purchasing power of the currency absent of central banks and inflation..",Terry Thompson,2021-07-01T17:43:55Z,0
@Terry Thompson Which means it has effectively decreased.,Clements,2021-07-01T16:56:52Z,0
"@Clements What do you mean minimum wage decreased?  I look at a chart of the history of minimum wage and it has steadily increased the entire time since its inception.  It has NOT however kept up with the rate of inflation, which means that there has been a gradual reduction in spending power for each individual as prices rise, and the value of the money plummets.",Terry Thompson,2021-07-01T11:53:29Z,0
@Terry Thompson Except capitalism is the exact reason that the minimum wge decreased.,Clements,2021-07-01T09:12:21Z,0
"This is easily reflected also in the fact that in the 60&#39;s, the minimum wage was $1.50, paid to you in six silver quarters.  The melt value of that silver would be upwards of $30 now..  with people making that kind of minimum wage, anyone working would not be living in poverty.",Terry Thompson,2021-06-20T13:33:58Z,0
nice video good job,pedro eduardo,2021-06-20T05:25:15Z,0
"Unbelievable, I&#39;ve heard the same propaganda of communism in russian, now I hear it in english. I guess you also have to understand that there is no such simple answer like &quot;capitalism is bad, cancel it&quot;. Stop spreading your social religion and looking for oppression. There is the truth that can be born from our discussion. If you want systematic changes that&#39;s fine. But these changes cannot be with such a huge scale. We see how rich people enjoy their life and so what? Let&#39;s make them unhappier? Isn&#39;t that evil? <br>Movies are reflecting reality with huge distortions. Don&#39;t let them think for you.",Azat Gainutdinov,2021-06-19T21:20:29Z,1
Where in the video did she even mention communism or &quot;cancelling capitalism&quot;?,Safe-Keeper,2021-07-02T18:36:18Z,0
Abel Abel what?,Azat Gainutdinov,2021-06-21T14:32:28Z,0
"The outstanding jumbo gratifyingly unpack because tailor simplistically check towards a flat june. pumped, spiky insulation",郭文,2021-06-19T16:24:17Z,0
I want to ask my Semantics professor to make me his &quot;guest professor&quot; and would love to use this movie for their subject.,"no worries, the planet has kim namjoon",2021-06-19T06:01:11Z,0
I’ve never enjoyed a video so much,M C,2021-06-18T14:43:09Z,1
"lmao everyone hard af about social exploitation, class divide and shit, but I don&#39;t see them iphone selling any less, I don&#39;t see them have-nots getting any better. I don&#39;t see foxconn shutting down and I sure as hell don&#39;t see ppl giving a shit about anything except their own interests.<br><br>Stop pretending ur gucci nd shit. Stop fucking virtual signaling. as long as u live in the west and are not starving to death, ur livin the life of the parks. We just need to accept our lot as the parasites of the world living off the backs of suicidal factory slaves and the extreme luxuries that we afford on an everyday basis. Like watching this video for example.<br><br><br>Whole thing is a fucking joke lmao, we wouldn&#39;t last a day in poverty and yall fucking know it. I for one welcome my life at the top and you know what I say to the 40 y/o women that assembled my iphone working for 3 dollars an hr 15 hr days?<br><br>sucks to suck bitch, better luck next lifetime.",Andrew Song,2021-06-17T21:48:02Z,0
​Abel Abel what do you expect from people who handwave disagreement as &quot;virtue signalling&quot;? Serious counter-arugments?,Safe-Keeper,2021-07-02T18:37:19Z,0
"You must live a very sad life. It&#39;s so weird when I see someone acknowledge all the problems with capitalism, but instead of then deciding that we need something better, instead just decides to be a shitty person.",Clements,2021-07-01T09:13:53Z,1
Because of this movie I fell in love with Jessica and cant forget her eyes,Michael McNamara,2021-06-17T12:27:39Z,22
Get a girlfriend dude,Keikofilms,2021-09-22T22:12:22Z,8
"This isn&#39;t a horror movie, its a black comedy.",Cameron Jones,2021-06-16T17:34:01Z,0
"It&#39;s not a tragedy, it&#39;s a comedy.",Faidou,2021-07-12T23:40:39Z,0
But there are no black people in it…,Lester Reyes,2021-07-06T01:42:42Z,0
I was not expecting a filipino commercial in this video but it fits so well. In most south-east asian countries the concept that white skin = superior is prevalent.,Mr. Lucha,2021-06-16T14:16:48Z,0
Because it&#39;s a symbol of wealth and not having to work long days outdoors. Nothing to do with race or ethnicity.,Safe-Keeper,2021-07-02T18:38:27Z,0
Bitcoin solves this,Saulo Ponce,2021-06-16T04:51:00Z,0
This video is socialist PROPAGANDA. Don&#39;t doubt it for a second. It&#39;s stil a fine movie though...,Carlos Rodríguez,2021-06-16T02:51:40Z,0
"Abel Abel Okay and what is the solution? It&#39;s okay to point at the system&#39;s flaws, but what do you want? Socialism is a nightmare. Only a person that has not lived under socialist rule would disagree.",Carlos Rodríguez,2021-07-06T18:22:34Z,0
Abel Abel the issue is that the stupid youth is not advocating to be more like Europe or Australia (that are capitalist too). Somehow you think the system that made everyone dirt poor (Socialism) will work there. The world is doomed. The new generations are way too stupid and ignorant.,Carlos Rodríguez,2021-07-06T14:19:59Z,0
@Lester Reyes it&#39;s sad that America hates free market capitalism so much when it&#39;s the only reason that they are the most powerful country in the world. America will soon join the third world cause its newer generations are incredibly stupid...,Carlos Rodríguez,2021-07-06T02:09:05Z,0
"It’s just an interpretation, you’re free to provide a different analysis",Lester Reyes,2021-07-06T01:44:03Z,0
